neighbours_threshold,points_threshold,coop_rate
1,1,0.1251847222222222
1,2,0.2532402777777778
1,3,0.2604638888888889
1,4,0.3878652777777778
1,5,0.4397138888888889
1,6,0.6928958333333334
1,7,0.8736361111111111
1,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
2,1,0.12519305555555554
2,2,0.25443333333333334
2,3,0.2618611111111111
2,4,0.3889
2,5,0.441
2,6,0.7126777777777777
2,7,0.87655
2,8,1.0
2,9,1.0
2,10,1.0
2,11,1.0
2,12,1.0
2,13,1.0
2,14,1.0
2,15,1.0
3,1,0.1255013888888889
3,2,0.2609208333333333
3,3,0.27002777777777776
3,4,0.3948013888888889
3,5,0.45242777777777776
3,6,0.7448222222222223
3,7,0.8772486111111111
3,8,1.0
3,9,1.0
3,10,1.0
3,11,1.0
3,12,1.0
3,13,1.0
3,14,1.0
3,15,1.0
4,1,0.1586875
4,2,0.2972236111111111
4,3,0.30370555555555556
4,4,0.4288513888888889
4,5,0.5270861111111111
4,6,0.7489847222222222
4,7,0.8775430555555556
4,8,1.0
4,9,1.0
4,10,1.0
4,11,1.0
4,12,1.0
4,13,1.0
4,14,1.0
4,15,1.0
5,1,0.8727277777777778
5,2,0.6365652777777778
5,3,0.7139986111111111
5,4,0.6510472222222222
5,5,0.6645888888888889
5,6,0.7486777777777778
5,7,0.8775222222222222
5,8,1.0
5,9,1.0
5,10,1.0
5,11,1.0
5,12,1.0
5,13,1.0
5,14,1.0
5,15,1.0
6,1,0.8741111111111111
6,2,0.7566777777777778
6,3,0.7556916666666667
6,4,0.6510041666666667
6,5,0.6641902777777777
6,6,0.7483472222222223
6,7,0.8775638888888889
6,8,1.0
6,9,1.0
6,10,1.0
6,11,1.0
6,12,1.0
6,13,1.0
6,14,1.0
6,15,1.0
7,1,0.8752777777777778
7,2,0.7566875
7,3,0.7555694444444444
7,4,0.6511555555555556
7,5,0.6651625
7,6,0.7485875
7,7,0.8776680555555556
7,8,1.0
7,9,1.0
7,10,1.0
7,11,1.0
7,12,1.0
7,13,1.0
7,14,1.0
7,15,1.0
8,1,0.8752777777777778
8,2,0.7564291666666667
8,3,0.7555930555555556
8,4,0.6511333333333333
8,5,0.6644361111111111
8,6,0.7480819444444444
8,7,0.877575
8,8,1.0
8,9,1.0
8,10,1.0
8,11,1.0
8,12,1.0
8,13,1.0
8,14,1.0
8,15,1.0
