neighbours_threshold,points_threshold,coop_rate
1,1,0.4575458333333333
1,2,0.48557361111111114
1,3,0.5142263888888889
1,4,0.5710944444444445
1,5,0.6124791666666667
1,6,0.6185569444444444
1,7,0.6056763888888889
1,8,0.6342791666666666
1,9,0.5976708333333334
1,10,0.6277472222222222
1,11,0.6710888888888888
1,12,0.6166638888888889
1,13,0.6099972222222222
1,14,0.6222222222222222
1,15,0.6366666666666667
2,1,0.5340125
2,2,0.5264361111111111
2,3,0.5685736111111112
2,4,0.595725
2,5,0.614475
2,6,0.6413527777777778
2,7,0.6154916666666667
2,8,0.6321222222222223
2,9,0.6809875
2,10,0.6488583333333333
2,11,0.6244111111111111
2,12,0.5999958333333333
2,13,0.5911069444444444
2,14,0.6122222222222222
2,15,0.6355555555555555
3,1,0.6250166666666667
3,2,0.5610194444444444
3,3,0.5489083333333333
3,4,0.5868166666666667
3,5,0.6055958333333333
3,6,0.6282319444444444
3,7,0.6271555555555556
3,8,0.5932458333333334
3,9,0.6465569444444444
3,10,0.5988694444444445
3,11,0.6122013888888889
3,12,0.6533305555555555
3,13,0.6544333333333333
3,14,0.6155555555555555
3,15,0.5944444444444444
4,1,0.59795
4,2,0.5693166666666667
4,3,0.5510625
4,4,0.5885375
4,5,0.5872555555555555
4,6,0.6028722222222223
4,7,0.6287902777777777
4,8,0.634325
4,9,0.6098902777777778
4,10,0.62775
4,11,0.6121972222222222
4,12,0.6099986111111111
4,13,0.6588833333333334
4,14,0.6233333333333333
4,15,0.62
5,1,0.5837055555555556
5,2,0.5669736111111111
5,3,0.5717666666666666
5,4,0.5957125
5,5,0.6213666666666666
5,6,0.6466069444444444
5,7,0.6248736111111111
5,8,0.6398986111111111
5,9,0.6254444444444445
5,10,0.6333055555555556
5,11,0.6210861111111111
5,12,0.6233305555555556
5,13,0.6177763888888889
5,14,0.6122222222222222
5,15,0.5977777777777777
6,1,0.6368847222222223
6,2,0.5723944444444444
6,3,0.5831763888888889
6,4,0.5845347222222222
6,5,0.6143777777777778
6,6,0.6282277777777778
6,7,0.6091777777777778
6,8,0.6143319444444445
6,9,0.6332166666666666
6,10,0.6066430555555555
6,11,0.6310777777777777
6,12,0.6277708333333333
6,13,0.5955527777777778
6,14,0.6111111111111112
6,15,0.6511111111111111
7,1,0.5972458333333334
7,2,0.5711125
7,3,0.5759958333333334
7,4,0.5753027777777778
7,5,0.5933083333333333
7,6,0.6162694444444444
7,7,0.6204638888888889
7,8,0.5976722222222223
7,9,0.6254222222222222
7,10,0.6333
7,11,0.6444152777777777
7,12,0.6199958333333333
7,13,0.61555
7,14,0.6377777777777778
7,15,0.6055555555555555
8,1,0.5992722222222222
8,2,0.5648319444444444
8,3,0.5706694444444445
8,4,0.5947763888888888
8,5,0.6011222222222222
8,6,0.6437486111111111
8,7,0.6197666666666667
8,8,0.6332041666666667
8,9,0.6254583333333333
8,10,0.6477236111111111
8,11,0.6421902777777778
8,12,0.6366597222222222
8,13,0.6677694444444444
8,14,0.6244444444444445
8,15,0.6333333333333333
