neighbours_threshold,points_threshold,coop_rate
1,1,0.2286
1,2,0.3397625
1,3,0.36261944444444444
1,4,0.4990597222222222
1,5,0.6201152777777778
1,6,0.7608097222222222
1,7,0.8456763888888889
1,8,0.8663888888888889
1,9,0.8575152777777778
1,10,0.872075
1,11,0.8854111111111111
1,12,0.9032930555555555
1,13,0.8866291666666667
1,14,0.8788888888888889
1,15,0.8777777777777778
2,1,0.2459486111111111
2,2,0.33981666666666666
2,3,0.3834875
2,4,0.5015208333333333
2,5,0.6402638888888889
2,6,0.7709875
2,7,0.8394583333333333
2,8,0.8541541666666667
2,9,0.8864097222222223
2,10,0.8798583333333333
2,11,0.8720805555555555
2,12,0.87995
2,13,0.8632791666666667
2,14,0.8666666666666667
2,15,0.8877777777777778
3,1,0.2883291666666667
3,2,0.38610833333333333
3,3,0.41828055555555554
3,4,0.5676541666666667
3,5,0.6926777777777777
3,6,0.7607583333333333
3,7,0.8361597222222222
3,8,0.8563472222222223
3,9,0.8752805555555555
3,10,0.8931861111111111
3,11,0.8731652777777777
3,12,0.8677222222222222
3,13,0.8866125
3,14,0.88
3,15,0.8822222222222222
4,1,0.7620319444444444
4,2,0.5372819444444444
4,3,0.5696263888888888
4,4,0.6503708333333333
4,5,0.6974847222222222
4,6,0.7732263888888888
4,7,0.8328361111111111
4,8,0.8808708333333334
4,9,0.8786055555555555
4,10,0.8787486111111111
4,11,0.8798583333333333
4,12,0.8799527777777778
4,13,0.8732791666666667
4,14,0.8944444444444445
4,15,0.8788888888888889
5,1,0.7786694444444444
5,2,0.6920791666666667
5,3,0.69815
5,4,0.6595666666666666
5,5,0.6946833333333333
5,6,0.7646555555555555
5,7,0.8437125
5,8,0.8630583333333334
5,9,0.9031111111111111
5,10,0.8542972222222223
5,11,0.8687388888888888
5,12,0.8821777777777777
5,13,0.8777388888888888
5,14,0.8688888888888889
5,15,0.8766666666666667
6,1,0.7844
6,2,0.6818277777777778
6,3,0.69165
6,4,0.6581611111111111
6,5,0.6953305555555556
6,6,0.7624611111111111
6,7,0.84095
6,8,0.8886569444444444
6,9,0.8808472222222222
6,10,0.8576222222222222
6,11,0.8854083333333334
6,12,0.8632958333333334
6,13,0.9021722222222223
6,14,0.8466666666666667
6,15,0.8788888888888889
7,1,0.7851722222222223
7,2,0.7081305555555556
7,3,0.6873194444444445
7,4,0.6477
7,5,0.6975805555555555
7,6,0.7696777777777778
7,7,0.8315763888888889
7,8,0.8708236111111111
7,9,0.8797430555555555
7,10,0.8709277777777777
7,11,0.8809527777777778
7,12,0.8888375
7,13,0.8932930555555556
7,14,0.8722222222222222
7,15,0.8588888888888889
8,1,0.7954388888888889
8,2,0.6887263888888889
8,3,0.6868319444444444
8,4,0.6518388888888889
8,5,0.6959194444444444
8,6,0.7712791666666666
8,7,0.8499375
8,8,0.8741583333333334
8,9,0.8853208333333333
8,10,0.8698444444444444
8,11,0.8731652777777777
8,12,0.8566291666666667
8,13,0.8710597222222223
8,14,0.8755555555555555
8,15,0.8833333333333333
